                       data-stat                      1st highest                  2nd highest                  3rd highest                 1st lowest                      2nd lowest                   3rd lowest
35                     sca_per90            Philip Billing - 7.83        Luis Guilherme - 6.52       Marcus Rashford - 6.36        Alex McCarthy - 0.0                   Ben Mee - 0.0      Benoît Badiashile - 0.0
36                           gca               Mohamed Salah - 24             Bukayo Saka - 22        Mikkel Damsgaard - 21        Aaron Cresswell - 0              Aaron Ramsdale - 0       Abdukodir Khusanov - 0
37                     gca_per90                Solly March - 1.7           Bukayo Saka - 1.39        Harvey Elliott - 0.98      Aaron Cresswell - 0.0            Aaron Ramsdale - 0.0     Abdukodir Khusanov - 0.0
38                       tackles         Idrissa Gana Gueye - 119           Daniel Muñoz - 107      Noussair Mazraoui - 100         Aaron Ramsdale - 0               Alex McCarthy - 0              Alex Palmer - 0
39                   tackles_won          Idrissa Gana Gueye - 70            Daniel Muñoz - 68          Moisés Caicedo - 61         Aaron Ramsdale - 0               Alex McCarthy - 0              Alex Palmer - 0
40                    challenges     Trent Alexander-Arnold - 100              João Gomes - 93     Alexis Mac Allister - 92          Alex McCarthy - 0                 Alex Palmer - 0            Armando Broja - 0
41               challenges_lost                  João Gomes - 56  Trent Alexander-Arnold - 53         Elliot Anderson - 49          Alex McCarthy - 0                 Alex Palmer - 0           Antonín Kinský - 0
42                        blocks              Nathan Collins - 68                 Murillo - 64         Tyrick Mitchell - 61         Aaron Ramsdale - 0               Alex McCarthy - 0              Alex Palmer - 0
43                 blocked_shots              Nathan Collins - 48             Dara O'Shea - 45         James Tarkowski - 42         Aaron Ramsdale - 0       Abdul Fatawu Issahaku - 0             Adama Traoré - 0
44                blocked_passes         Alexis Mac Allister - 53         Tyrick Mitchell - 49         Antoine Semenyo - 48         Aaron Ramsdale - 0             Albert Grønbaek - 0            Alex McCarthy - 0
45                 interceptions           Aaron Wan-Bissaka - 57        Antonee Robinson - 56        Ryan Gravenberch - 56        Albert Grønbaek - 0               Alex McCarthy - 0              Alex Palmer - 0
46                       touches           Virgil van Dijk - 2909        Joško Gvardiol - 2707          Levi Colwill - 2591       Albert Grønbaek - 38            Odsonne Édouard - 45           Ali Al Hamadi - 53
47          touches_def_pen_area              Mark Flekken - 1261            Bernd Leno - 1045            André Onana - 975            Emi Buendía - 0                 Solly March - 0            Callum Wilson - 1
48               touches_def_3rd              Mark Flekken - 1569       Jordan Pickford - 1401            Bernd Leno - 1295        Odsonne Édouard - 4               Callum Wilson - 5              Solly March - 5
49               touches_mid_3rd           Virgil van Dijk - 1622        Moisés Caicedo - 1397        William Saliba - 1377          Alex McCarthy - 0                  Danny Ward - 0           Fraser Forster - 0
50               touches_att_3rd              Mohamed Salah - 967           Bryan Mbeumo - 851        Bruno Fernandes - 848         Aaron Ramsdale - 0               Alex McCarthy - 0              Alex Palmer - 0
51          touches_att_pen_area              Mohamed Salah - 310        Antoine Semenyo - 174         Erling Haaland - 170         Aaron Ramsdale - 0               Alex McCarthy - 0              Alex Palmer - 0
52                      take_ons             Mohammed Kudus - 177            Jeremy Doku - 171          Morgan Rogers - 145         Aaron Ramsdale - 0               Alex McCarthy - 0              Alex Palmer - 0
53              take_ons_won_pct          Aaron Cresswell - 100.0              Alisson - 100.0          Andy Irving - 100.0   Abdukodir Khusanov - 0.0           Albert Grønbaek - 0.0    Armel Bella Kotchap - 0.0
54          take_ons_tackled_pct       Abdukodir Khusanov - 100.0      Albert Grønbaek - 100.0  Armel Bella Kotchap - 100.0      Aaron Cresswell - 0.0                   Alisson - 0.0            Andy Irving - 0.0
55                       carries            Joško Gvardiol - 1753       Virgil van Dijk - 1637    Jan Paul van Hecke - 1536       Albert Grønbaek - 18            Odsonne Édouard - 23       Kosta Nedeljković - 27
56  carries_progressive_distance        Jan Paul van Hecke - 6643        Joško Gvardiol - 5195            Rúben Dias - 4900       Albert Grønbaek - 15             Massimo Luongo - 25           Harrison Reed - 27
57      carries_into_final_third                  Alex Iwobi - 95          Joško Gvardiol - 89             Jeremy Doku - 80         Aaron Ramsdale - 0             Albert Grønbaek - 0            Alex McCarthy - 0
