,name,team,nationality,position,age,games,games_starts,minutes,goals,assists,cards_yellow,cards_red,xg,xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,xg_per90,xg_assist_per90,gk_goals_against_per90,gk_save_pct,gk_clean_sheets_pct,gk_pens_save_pct,shots_on_target_pct,shots_on_target_per90,goals_per_shot,average_shot_distance,passes_completed,passes_pct,passes_total_distance,passes_pct_short,passes_pct_medium,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,sca,sca_per90,gca,gca_per90,tackles,tackles_won,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,fouls,fouled,offsides,crosses,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
57,Beto,Everton,gw GNB,FW,27-080,25,10,1129,6,0,2,0,6.1,0.8,12,9,58,0.48,0.0,0.48,0.06,N/a,N/a,N/a,N/a,50.0,1.36,0.18,13.4,112,56.9,1537,68.0,49.2,87.5,8,5,3,1,17,1.35,0,0.0,13,6,7,2,6,1,5,3,385,20,39,172,179,64,30,53.3,43.3,202,382,8,9,50,29,276,28,16,14,3,29,72,83,46.5
58,Bilal El Khannouss,Leicester City,ma MAR,MF,20-346,28,23,1838,2,2,4,0,0.8,3.1,60,112,71,0.1,0.1,0.04,0.15,N/a,N/a,N/a,N/a,27.3,0.29,0.09,22.6,684,75.2,12189,86.0,80.7,56.6,29,78,25,5,56,2.75,4,0.2,46,26,25,11,18,4,14,6,1080,16,154,559,379,27,44,59.1,38.6,617,1732,38,9,33,32,718,27,9,0,74,81,19,18,51.4
59,Billy Gilmour,Brighton,sct SCO,MF,23-314,2,1,98,0,0,0,0,0.1,0.0,2,11,2,0.0,0.0,0.07,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.0,25.5,58,86.6,980,94.7,81.8,57.1,0,12,2,0,3,2.76,0,0.0,3,3,4,1,1,0,1,0,73,2,14,46,13,0,2,50.0,50.0,44,117,0,0,0,0,58,2,3,0,1,5,0,0,N/a
60,Bobby Reid,Leicester City,jm JAM,FW,32-078,22,8,700,1,2,2,0,0.8,1.2,13,14,44,0.13,0.26,0.1,0.15,N/a,N/a,N/a,N/a,50.0,0.39,0.17,26.4,139,70.2,1795,81.1,75.5,28.6,6,8,5,0,12,1.54,3,0.39,9,4,14,10,6,1,5,0,261,14,47,108,106,15,9,0.0,77.8,165,351,4,5,11,10,181,9,9,4,15,27,6,14,30.0
61,Boubacar Kamara,Aston Villa,fr FRA,MF,25-149,21,15,1283,0,0,2,0,0.4,0.9,16,68,5,0.0,0.0,0.03,0.06,N/a,N/a,N/a,N/a,14.3,0.07,0.0,21.1,647,89.2,10055,93.6,91.0,54.5,10,74,8,0,23,1.61,2,0.14,46,19,49,23,16,6,10,15,876,85,269,507,106,8,22,36.4,31.8,451,1038,10,1,7,9,583,21,25,0,1,64,15,20,42.9
62,Boubakary Soumaré,Leicester City,fr FRA,MF,26-053,26,22,1908,0,0,8,0,0.3,0.4,31,93,21,0.0,0.0,0.01,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,23.4,964,86.7,14611,91.9,87.6,69.8,11,90,13,2,34,1.6,3,0.14,32,17,30,12,15,6,9,24,1293,60,339,817,150,17,42,61.9,28.6,772,1851,16,3,20,21,906,20,20,0,8,128,19,9,67.9
63,Brajan Gruda,Brighton,de GER,"FW,MF",20-325,16,6,498,0,1,0,0,0.4,0.7,15,17,46,0.0,0.18,0.07,0.13,N/a,N/a,N/a,N/a,50.0,0.36,0.0,16.8,135,73.4,1805,82.9,71.1,38.1,12,7,10,1,24,4.33,2,0.36,13,5,14,7,8,0,8,2,252,4,32,88,134,30,21,38.1,42.9,148,458,16,9,8,20,167,6,9,1,17,18,3,4,42.9
64,Brennan Johnson,Tottenham,wls WAL,FW,23-333,29,22,1969,11,3,5,0,9.8,2.3,56,66,186,0.5,0.14,0.45,0.1,N/a,N/a,N/a,N/a,37.7,0.91,0.21,11.4,428,71.7,5637,81.1,75.1,39.3,19,25,33,6,45,2.06,7,0.32,39,26,31,15,22,3,19,4,797,16,88,271,450,118,41,46.3,46.3,510,1378,20,32,23,16,587,25,22,9,50,58,7,20,25.9
65,Bruno Fernandes,Manchester Utd,pt POR,MF,30-225,32,31,2668,8,9,4,2,9.4,6.8,62,264,114,0.27,0.3,0.32,0.23,N/a,N/a,N/a,N/a,30.0,0.81,0.06,21.7,1462,75.2,25699,86.7,80.2,52.9,77,171,63,9,157,5.3,12,0.4,73,44,75,46,30,4,26,25,2297,59,385,1086,848,70,64,42.2,48.4,1331,3256,58,11,35,37,1605,26,37,2,164,187,20,27,42.6
66,Bruno Guimarães,Newcastle Utd,br BRA,MF,27-156,33,33,2822,4,6,6,0,3.5,5.6,49,227,75,0.13,0.19,0.11,0.18,N/a,N/a,N/a,N/a,25.7,0.29,0.11,16.6,1251,82.1,20578,90.4,87.2,57.6,43,150,60,5,106,3.38,17,0.54,70,41,61,32,32,9,23,27,1885,71,392,985,529,60,68,45.6,30.9,1226,2947,38,9,50,72,1412,53,98,2,21,156,16,15,51.6
67,Bryan Mbeumo,Brentford,cm CMR,FW,25-257,33,33,2964,18,6,2,0,10.6,7.8,110,125,300,0.55,0.18,0.32,0.24,N/a,N/a,N/a,N/a,45.5,0.91,0.2,17.7,763,67.3,12187,79.7,72.8,38.1,63,52,55,16,129,3.92,17,0.52,41,26,29,12,21,3,18,14,1523,47,216,483,851,137,93,45.2,41.9,924,3035,61,64,87,38,1034,22,40,11,171,137,31,68,31.3
68,Bukayo Saka,Arsenal,eng ENG,"FW,MF",23-228,20,17,1423,6,10,3,0,5.8,6.8,79,61,220,0.38,0.63,0.36,0.43,N/a,N/a,N/a,N/a,34.0,1.14,0.09,16.1,457,74.6,7103,89.3,72.1,48.8,48,13,32,10,98,6.2,22,1.39,24,14,20,10,18,0,18,2,824,6,44,179,608,138,83,44.6,41.0,521,2031,26,44,27,36,595,13,35,4,108,61,8,19,29.6
69,Caleb Okoli,Leicester City,it ITA,DF,23-282,18,12,1124,1,0,4,0,0.6,0.0,3,32,2,0.08,0.0,0.05,0.0,N/a,N/a,N/a,N/a,50.0,0.16,0.25,13.5,558,86.4,9738,91.3,91.0,55.4,0,21,1,0,4,0.32,0,0.0,25,14,18,7,24,14,10,15,804,152,450,324,35,10,0,N/a,N/a,467,1106,6,0,10,2,483,16,9,0,1,44,23,21,52.3
70,Callum Hudson-Odoi,Nott'ham Forest,eng ENG,FW,24-165,27,24,2074,5,2,2,0,2.5,2.7,123,66,186,0.22,0.09,0.11,0.12,N/a,N/a,N/a,N/a,45.9,0.74,0.14,18.3,654,82.2,9550,92.4,81.6,50.0,44,35,30,10,94,4.08,11,0.48,18,13,14,5,10,0,10,13,976,14,104,310,585,72,59,55.9,30.5,609,3224,59,45,44,23,745,11,19,8,74,88,3,10,23.1
71,Callum Wilson,Newcastle Utd,eng ENG,FW,33-053,13,1,254,0,0,1,0,0.3,0.1,5,3,9,0.0,0.0,0.12,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,15.0,26,68.4,352,76.5,78.6,N/a,1,1,0,0,6,2.13,0,0.0,2,2,2,2,2,0,2,1,67,1,5,40,25,13,5,20.0,40.0,33,92,4,4,9,7,38,2,1,1,1,10,2,12,14.3
72,Calvin Bassey,Fulham,ng NGA,DF,25-111,31,30,2714,1,0,6,0,1.0,0.1,25,95,12,0.03,0.0,0.03,0.0,N/a,N/a,N/a,N/a,30.8,0.13,0.08,15.0,1680,89.4,29618,94.9,94.0,60.8,2,122,2,0,19,0.63,2,0.07,51,32,27,8,37,17,20,18,2150,293,1063,999,110,16,28,46.4,32.1,1374,3812,15,4,29,8,1488,22,30,2,5,148,38,30,55.9
73,Cameron Archer,Southampton,eng ENG,FW,23-274,30,13,1336,2,0,0,0,5.1,0.4,19,14,62,0.13,0.0,0.34,0.02,N/a,N/a,N/a,N/a,33.3,0.61,0.07,13.1,184,81.4,2410,86.0,91.1,55.6,3,6,7,0,17,1.15,0,0.0,11,7,9,7,5,1,4,2,350,15,56,157,140,48,30,46.7,50.0,203,499,9,14,32,24,245,16,12,7,3,33,8,27,22.9
74,Cameron Burgess,Ipswich Town,au AUS,DF,29-182,15,13,1271,0,1,0,0,0.7,0.5,2,38,4,0.0,0.07,0.05,0.04,N/a,N/a,N/a,N/a,11.1,0.07,0.0,9.7,524,80.9,9467,90.5,86.9,49.1,6,39,4,0,12,0.85,2,0.14,12,8,9,2,18,13,5,13,814,186,484,287,44,21,0,N/a,N/a,383,922,4,0,2,0,479,4,4,1,0,35,38,19,66.7
75,Caoimhín Kelleher,Liverpool,ie IRL,GK,26-149,10,10,900,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.2,67.6,40.0,100.0,N/a,0.0,N/a,N/a,289,75.7,6252,100.0,100.0,31.9,0,6,0,0,3,0.3,1,0.1,0,0,0,0,0,0,0,0,398,286,396,2,0,0,1,100.0,0.0,290,616,0,0,1,0,275,0,3,0,0,18,1,0,100.0
76,Carlos Alcaraz,Everton,ar ARG,"FW,MF",22-142,10,4,446,1,1,3,0,1.3,1.1,11,24,9,0.2,0.2,0.26,0.23,N/a,N/a,N/a,N/a,33.3,1.21,0.06,20.4,131,75.3,2262,84.1,85.1,52.4,9,10,13,1,22,4.44,2,0.4,11,5,9,6,4,1,3,3,238,10,42,98,104,13,11,63.6,27.3,128,433,14,1,10,8,151,9,6,1,8,20,10,5,66.7
77,Carlos Baleba,Brighton,cm CMR,MF,21-108,29,26,2223,2,1,8,1,3.0,1.3,39,108,26,0.08,0.04,0.12,0.05,N/a,N/a,N/a,N/a,25.6,0.4,0.05,24.9,955,87.5,16072,92.9,91.2,63.8,20,101,22,2,60,2.43,4,0.16,67,37,69,27,42,9,33,39,1423,67,330,846,285,10,51,58.8,35.3,805,2449,39,2,34,33,864,37,42,0,8,163,37,21,63.8
78,Carlos Forbs,Wolves,pt POR,"MF,FW",21-033,9,1,237,0,0,2,0,0.1,0.0,9,8,28,0.0,0.0,0.05,0.01,N/a,N/a,N/a,N/a,0.0,0.0,0.0,19.1,56,64.4,739,75.0,72.0,20.0,1,2,3,1,5,1.91,1,0.38,8,5,5,1,3,0,3,1,117,3,20,38,60,13,12,58.3,41.7,72,297,3,8,7,4,82,2,1,0,9,11,1,3,25.0
79,Carlos Soler,West Ham,es ESP,"MF,FW",28-109,28,14,1347,1,1,5,0,1.7,1.2,16,52,33,0.07,0.07,0.11,0.08,N/a,N/a,N/a,N/a,29.2,0.47,0.04,19.1,530,85.1,8264,94.4,85.7,53.7,14,41,11,0,46,3.08,2,0.13,13,10,22,16,19,6,13,8,738,26,172,384,187,22,18,44.4,50.0,338,714,16,4,11,14,502,24,17,0,31,63,9,11,45.0
80,Casemiro,Manchester Utd,br BRA,MF,33-057,21,15,1271,1,0,3,0,1.5,2.2,4,65,26,0.07,0.0,0.1,0.16,N/a,N/a,N/a,N/a,29.6,0.57,0.04,19.3,637,78.7,10614,86.3,83.9,60.9,19,64,19,6,48,3.4,3,0.21,74,43,64,25,33,10,23,12,1039,67,309,523,215,37,6,50.0,50.0,546,775,10,0,10,10,663,15,18,3,19,82,28,17,62.2
81,Charlie Taylor,Southampton,eng ENG,DF,31-215,7,2,266,0,0,1,0,0.0,0.1,3,8,6,0.0,0.0,0.0,0.03,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,154,87.0,2691,94.0,89.5,70.6,1,8,2,1,2,0.68,1,0.34,7,5,6,1,5,3,2,3,219,21,93,91,36,1,2,100.0,0.0,91,155,3,0,1,1,133,2,2,0,9,7,4,2,66.7
82,Cheick Doucouré,Crystal Palace,ml MLI,MF,25-103,13,4,452,0,0,1,0,0.4,0.0,2,19,7,0.0,0.0,0.08,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.0,20.6,174,85.3,2909,89.4,89.7,80.0,1,17,3,0,9,1.79,3,0.6,16,8,11,6,4,0,4,11,263,11,56,165,45,4,5,40.0,40.0,133,280,7,1,4,7,160,7,7,0,1,31,5,5,50.0
83,Chiedozie Ogbene,Ipswich Town,ie IRL,FW,27-355,5,3,238,0,0,0,0,0.0,0.1,7,0,15,0.0,0.0,0.0,0.03,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,32,74.4,415,83.3,80.0,100.0,2,0,0,0,3,1.13,0,0.0,7,3,4,2,1,0,1,1,70,3,11,19,40,6,7,14.3,42.9,41,139,2,2,4,2,43,2,7,1,4,6,1,6,14.3
84,Chris Richards,Crystal Palace,us USA,DF,25-024,20,18,1562,1,0,4,1,1.2,0.1,5,34,1,0.06,0.0,0.07,0.01,N/a,N/a,N/a,N/a,50.0,0.29,0.1,11.8,583,81.1,10347,89.2,90.3,44.2,2,20,0,0,7,0.4,2,0.12,42,27,38,15,35,13,22,10,935,111,513,371,56,15,6,16.7,83.3,433,850,5,0,5,5,525,11,4,1,1,48,33,35,48.5
85,Chris Wood,Nott'ham Forest,nz NZL,FW,33-135,30,29,2434,18,3,1,0,11.0,2.0,13,33,74,0.67,0.11,0.41,0.07,N/a,N/a,N/a,N/a,58.0,1.07,0.3,14.6,265,66.6,3643,70.7,68.9,68.4,16,14,8,1,38,1.41,5,0.18,4,4,8,7,11,7,4,4,617,31,72,297,250,78,10,40.0,50.0,307,429,9,5,62,22,461,22,20,22,1,38,78,117,40.0
86,Christian Eriksen,Manchester Utd,dk DEN,MF,33-066,19,11,993,0,1,4,0,0.3,2.6,10,49,28,0.0,0.09,0.02,0.24,N/a,N/a,N/a,N/a,12.5,0.09,0.0,26.2,543,79.5,9068,92.2,80.0,49.1,22,53,8,2,43,3.89,6,0.54,19,9,24,13,13,4,9,7,771,24,160,375,240,12,3,0.0,100.0,421,662,10,0,11,5,511,8,3,0,74,59,2,5,28.6
87,Christian Nørgaard,Brentford,dk DEN,MF,31-042,29,29,2369,5,2,5,1,3.6,0.8,12,122,34,0.19,0.08,0.14,0.03,N/a,N/a,N/a,N/a,33.3,0.42,0.15,14.9,985,81.7,16249,87.1,86.1,58.5,15,119,22,3,47,1.79,9,0.34,72,44,67,25,47,18,29,42,1526,153,530,723,288,50,12,50.0,33.3,703,1147,12,4,28,18,916,37,26,1,13,173,40,29,58.0
88,Christian Walton,Ipswich Town,eng ENG,GK,29-163,6,6,540,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.67,57.6,16.7,0.0,N/a,0.0,N/a,N/a,152,67.3,4170,100.0,97.2,36.8,1,1,0,0,2,0.33,0,0.0,0,0,1,1,0,0,0,0,242,224,241,1,0,0,0,N/a,N/a,122,305,0,0,0,0,117,0,1,0,0,5,2,0,100.0
89,Christopher Nkunku,Chelsea,fr FRA,FW,27-158,27,9,921,3,2,2,0,4.8,2.1,17,25,68,0.29,0.2,0.47,0.21,N/a,N/a,N/a,N/a,44.0,1.07,0.12,12.6,299,89.5,3928,91.6,92.2,100.0,14,26,7,0,34,3.32,4,0.39,12,8,8,2,9,2,7,7,448,10,52,183,217,52,27,37.0,51.9,280,628,16,13,18,17,356,16,11,3,4,29,16,22,42.1
90,Cody Gakpo,Liverpool,nl NED,FW,25-349,30,18,1560,8,3,4,0,6.3,3.5,45,49,238,0.46,0.17,0.36,0.2,N/a,N/a,N/a,N/a,40.4,1.1,0.17,15.2,403,76.6,5722,87.1,67.6,57.1,32,22,26,8,65,3.75,6,0.35,24,12,23,12,18,2,16,9,728,20,67,208,467,83,47,57.4,31.9,490,1709,27,18,37,18,552,16,20,5,61,58,15,21,41.7
91,Cole Palmer,Chelsea,eng ENG,MF,22-350,32,31,2742,14,8,6,0,15.8,9.3,100,192,164,0.46,0.26,0.52,0.3,N/a,N/a,N/a,N/a,36.0,1.31,0.1,20.4,988,76.7,18729,85.5,84.9,59.2,76,141,57,15,178,5.84,14,0.46,24,15,21,13,14,1,13,8,1607,20,125,710,792,125,99,44.4,40.4,1006,3216,67,35,58,33,1184,12,55,6,130,91,1,7,12.5
92,Conor Bradley,Liverpool,nir NIR,DF,21-286,15,4,533,0,1,3,0,0.6,0.5,26,25,27,0.0,0.17,0.1,0.08,N/a,N/a,N/a,N/a,33.3,0.51,0.0,14.3,358,83.8,5339,91.6,88.2,35.5,5,20,3,1,16,2.71,2,0.34,11,8,16,8,4,0,4,3,511,17,141,239,140,33,16,37.5,56.3,282,1011,17,7,8,2,323,8,10,0,5,34,7,6,53.8
93,Conor Chaplin,Ipswich Town,eng ENG,"MF,FW",28-064,17,7,625,1,1,1,0,1.2,0.6,10,25,20,0.14,0.14,0.17,0.09,N/a,N/a,N/a,N/a,25.0,0.43,0.08,18.3,171,73.1,2676,83.3,78.1,33.3,6,17,7,2,19,2.74,1,0.14,12,5,13,7,8,1,7,3,287,6,47,145,100,12,6,50.0,50.0,138,380,7,0,9,3,195,10,5,0,9,23,2,8,20.0
94,Conor Coady,Leicester City,eng ENG,DF,32-055,17,14,1264,0,0,2,0,0.0,0.1,2,26,0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,708,90.4,12248,96.8,96.8,51.9,1,29,2,0,4,0.28,0,0.0,11,8,4,2,24,18,6,11,891,175,489,387,16,5,2,50.0,50.0,591,1284,2,1,4,2,650,5,2,1,0,44,12,16,42.9
95,Conor Townsend,Ipswich Town,eng ENG,DF,32-048,6,3,335,0,1,1,0,0.0,0.7,2,8,13,0.0,0.27,0.01,0.18,N/a,N/a,N/a,N/a,0.0,0.0,0.0,16.7,80,63.0,1418,82.1,74.5,29.2,4,7,2,2,5,1.34,1,0.27,11,8,11,3,8,6,2,4,172,28,87,50,38,5,0,N/a,N/a,53,136,2,0,2,2,75,2,4,0,12,8,6,4,60.0
96,Craig Dawson,Wolves,eng ENG,DF,34-350,15,10,971,0,0,2,0,0.5,0.0,6,20,5,0.0,0.0,0.05,0.0,N/a,N/a,N/a,N/a,20.0,0.09,0.0,8.5,484,86.6,9745,92.5,93.0,60.0,2,22,1,0,7,0.65,2,0.19,15,3,15,3,16,11,5,9,671,130,396,249,28,14,5,20.0,40.0,390,938,1,0,2,0,443,6,5,2,0,35,21,11,65.6
97,Cristian Romero,Tottenham,ar ARG,DF,26-359,17,17,1371,1,0,2,0,1.5,0.6,12,66,3,0.07,0.0,0.1,0.04,N/a,N/a,N/a,N/a,53.3,0.53,0.07,9.2,1057,89.1,19768,91.1,94.5,63.5,7,105,8,1,20,1.31,4,0.26,33,27,28,9,18,3,15,21,1333,157,586,689,69,21,4,25.0,50.0,873,2777,18,0,8,5,908,12,12,2,3,85,40,26,60.6
98,Crysencio Summerville,West Ham,nl NED,"FW,MF",23-173,19,7,786,1,1,2,0,1.6,1.7,29,18,71,0.11,0.11,0.19,0.19,N/a,N/a,N/a,N/a,28.6,0.46,0.07,13.4,194,76.4,2881,84.5,88.7,50.0,17,13,12,5,35,4.01,1,0.11,13,7,9,6,13,4,9,0,372,9,47,147,181,38,39,33.3,46.2,207,762,15,13,20,16,259,9,23,4,21,38,4,9,30.8
99,Curtis Jones,Liverpool,eng ENG,"MF,DF",24-081,28,16,1415,3,3,3,1,4.1,1.0,21,83,67,0.19,0.19,0.26,0.06,N/a,N/a,N/a,N/a,41.4,0.76,0.1,15.6,800,93.2,11625,96.8,93.0,73.7,19,58,16,0,40,2.54,7,0.45,33,17,22,8,15,7,8,5,1014,26,155,536,329,50,16,62.5,31.3,612,1318,14,5,22,29,759,15,21,1,6,75,13,12,52.0
100,Daichi Kamada,Crystal Palace,jp JPN,MF,28-259,29,12,1248,0,0,3,1,0.9,1.6,23,71,50,0.0,0.0,0.07,0.12,N/a,N/a,N/a,N/a,25.0,0.29,0.0,19.9,479,79.2,7616,87.5,81.9,55.6,17,39,13,2,41,2.96,3,0.22,40,23,36,24,17,3,14,16,759,18,163,394,207,26,13,30.8,53.8,372,897,16,4,13,18,488,24,17,2,23,63,3,12,20.0
101,Dan Burn,Newcastle Utd,eng ENG,DF,32-347,32,32,2880,0,0,9,0,1.3,0.8,9,54,9,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,21.1,0.12,0.0,10.4,1524,89.2,27526,91.1,94.7,61.6,7,30,7,0,19,0.59,3,0.09,32,18,31,15,31,22,9,25,2037,326,1158,788,96,44,4,75.0,25.0,1164,2312,4,1,21,3,1372,27,11,4,2,87,122,61,66.7
102,Dango Ouattara,Bournemouth,bf BFA,FW,23-069,30,19,1843,7,4,2,0,8.2,5.2,73,41,184,0.34,0.2,0.4,0.25,N/a,N/a,N/a,N/a,33.9,0.98,0.12,13.4,339,59.8,5400,72.4,62.2,39.1,31,20,23,9,65,3.18,6,0.29,31,23,38,22,33,8,25,8,885,55,148,285,470,123,74,48.6,43.2,454,1611,32,37,55,30,535,15,17,13,80,83,41,57,41.8
103,Daniel Muñoz,Crystal Palace,co COL,DF,28-330,32,32,2778,4,4,9,0,4.6,3.9,48,79,176,0.13,0.13,0.15,0.13,N/a,N/a,N/a,N/a,37.5,0.39,0.13,12.3,967,75.4,14781,85.5,76.5,44.8,36,51,29,12,68,2.2,8,0.26,107,68,85,37,33,3,30,37,1732,105,486,724,540,85,48,37.5,58.3,667,1402,32,15,49,18,818,47,18,13,58,144,53,73,42.1
104,Danilo,Nott'ham Forest,br BRA,"MF,FW",23-357,6,4,210,0,0,0,0,0.0,0.0,2,10,1,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,74,79.6,1226,83.3,82.9,85.7,0,10,0,0,6,2.58,2,0.86,2,1,3,2,1,1,0,1,111,6,33,67,12,0,5,40.0,60.0,41,55,0,0,6,0,69,1,0,0,3,14,1,1,50.0
105,Danny Ings,West Ham,eng ENG,"FW,MF",32-272,15,1,284,1,2,0,0,2.3,1.3,6,5,29,0.32,0.63,0.72,0.41,N/a,N/a,N/a,N/a,35.7,1.58,0.07,15.5,63,68.5,830,83.7,65.5,20.0,6,4,1,0,12,3.8,2,0.63,4,2,3,2,5,0,5,1,139,2,15,51,73,27,7,57.1,28.6,63,118,0,2,6,6,96,0,2,0,3,9,8,10,44.4
106,Danny Ward,Leicester City,wls WAL,GK,31-303,2,1,135,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,4.0,40.0,0.0,N/a,N/a,0.0,N/a,N/a,41,77.4,1162,100.0,100.0,55.6,0,2,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,55,40,55,0,0,0,1,0.0,100.0,44,107,0,0,0,0,35,0,0,0,0,1,0,0,N/a
107,Danny Welbeck,Brighton,eng ENG,FW,34-146,26,20,1762,9,4,4,0,8.0,1.1,18,39,77,0.46,0.2,0.41,0.05,N/a,N/a,N/a,N/a,38.5,1.02,0.17,15.1,332,83.6,3879,85.8,87.2,100.0,17,14,12,0,41,2.09,6,0.31,22,13,17,11,15,1,14,5,597,13,45,256,300,86,35,34.3,57.1,356,716,20,6,42,23,439,10,20,2,3,35,15,23,39.5
108,Dara O'Shea,Ipswich Town,ie IRL,DF,26-048,30,30,2672,0,2,6,0,1.1,0.5,3,70,6,0.0,0.07,0.04,0.02,N/a,N/a,N/a,N/a,10.5,0.07,0.0,13.7,1079,77.7,21512,86.4,85.1,50.4,3,81,3,1,20,0.67,3,0.1,41,25,28,11,57,45,12,31,1772,350,1025,642,110,46,2,50.0,50.0,795,1713,2,0,11,4,1015,15,21,3,5,98,97,73,57.1
109,Darwin Núñez,Liverpool,uy URU,FW,25-301,25,8,1010,5,2,8,0,5.0,1.2,20,25,67,0.45,0.18,0.44,0.11,N/a,N/a,N/a,N/a,38.7,1.07,0.16,14.3,144,70.2,2149,80.4,72.9,66.7,9,9,2,0,24,2.13,4,0.36,18,15,15,10,6,0,6,3,326,10,43,110,183,60,21,38.1,57.1,175,492,16,10,21,17,216,26,14,11,2,37,15,29,34.1
110,David Brooks,Bournemouth,wls WAL,"FW,MF",27-287,25,8,815,2,0,3,0,2.2,1.7,25,27,75,0.22,0.0,0.24,0.19,N/a,N/a,N/a,N/a,45.5,1.1,0.09,16.8,243,74.1,3748,84.7,76.2,50.0,16,15,15,5,35,3.87,2,0.22,11,4,13,12,16,2,14,5,446,12,53,163,238,32,30,26.7,63.3,275,802,21,8,27,10,303,8,15,0,44,44,7,9,43.8
111,David Raya,Arsenal,es ESP,GK,29-218,33,33,2970,0,0,2,0,0.0,0.0,0,12,0,0.0,0.0,0.0,0.0,0.82,76.5,36.4,0.0,N/a,0.0,N/a,N/a,907,74.2,21570,99.2,98.5,38.2,0,39,1,0,4,0.12,1,0.03,0,0,2,2,0,0,0,2,1276,744,1196,80,0,0,1,100.0,0.0,791,2376,0,0,1,0,729,1,8,0,0,38,10,0,100.0
112,Dean Henderson,Crystal Palace,eng ENG,GK,28-040,33,33,2970,0,0,3,0,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,1.36,67.4,30.3,50.0,0.0,0.0,0.0,14.9,653,61.5,17831,99.4,99.4,30.7,2,18,1,0,3,0.09,0,0.0,2,1,6,4,0,0,0,0,1144,930,1140,3,1,1,0,N/a,N/a,658,1876,0,0,2,0,498,0,0,0,0,25,11,1,91.7
113,Dean Huijsen,Bournemouth,es ESP,DF,20-007,27,22,2054,2,1,7,0,1.7,2.0,35,107,10,0.09,0.04,0.08,0.09,N/a,N/a,N/a,N/a,11.8,0.09,0.12,12.3,1120,84.0,22710,89.2,91.4,62.0,14,138,7,2,38,1.67,3,0.13,33,23,25,10,33,25,8,49,1672,217,764,799,118,29,5,40.0,60.0,910,3569,23,0,16,1,1024,26,9,2,12,91,61,41,59.8
114,Declan Rice,Arsenal,eng ENG,MF,26-097,31,29,2482,2,7,6,1,2.6,6.4,86,171,85,0.07,0.25,0.09,0.23,N/a,N/a,N/a,N/a,25.6,0.36,0.05,19.7,1263,83.8,21529,92.7,90.1,49.1,54,122,34,5,101,3.66,9,0.33,48,21,36,20,23,11,12,24,1767,68,287,831,666,69,25,44.0,52.0,937,3143,53,16,36,26,1161,18,15,1,151,134,30,22,57.7
115,Dejan Kulusevski,Tottenham,se SWE,"MF,FW",24-361,28,24,2170,7,4,3,0,4.1,6.1,115,118,201,0.29,0.17,0.17,0.25,N/a,N/a,N/a,N/a,37.2,0.66,0.16,14.7,615,73.5,8625,86.1,77.6,40.3,63,59,52,6,122,5.06,9,0.37,40,23,47,30,25,3,22,12,1183,21,134,394,679,146,107,32.7,59.8,774,3092,66,37,72,70,841,40,33,5,88,111,9,11,45.0
116,Destiny Udogie,Tottenham,it ITA,DF,22-144,23,22,1744,0,1,2,0,0.3,1.4,51,117,92,0.0,0.05,0.02,0.07,N/a,N/a,N/a,N/a,20.0,0.05,0.0,15.1,915,87.5,13224,91.2,90.6,81.5,15,86,6,1,33,1.7,3,0.15,71,44,45,13,37,5,32,19,1287,57,353,572,376,48,30,40.0,50.0,714,2187,38,11,31,19,778,29,36,2,19,103,13,13,50.0
117,Diego Carlos,Aston Villa,br BRA,DF,32-037,10,8,830,0,0,1,0,0.6,0.0,3,34,0,0.0,0.0,0.07,0.0,N/a,N/a,N/a,N/a,25.0,0.11,0.0,6.7,534,88.6,10941,91.4,94.2,65.1,0,23,1,0,4,0.43,0,0.0,8,3,6,2,13,7,6,5,674,86,331,330,15,6,2,100.0,0.0,419,1162,3,0,1,2,481,11,1,1,0,36,11,10,52.4
