,statistic,skew before,skew after
0,age,0.36418561320671305,-0.00010474309446394929
1,games,-0.3291087468224235,-0.2975066257101937
2,games_starts,0.1978335385593725,-0.2117376158327037
3,minutes,0.21744784631818612,-0.20947572853724
4,goals,3.1111766926665543,0.32960771024887076
5,assists,2.4049248970406407,0.2555069250599755
6,cards_yellow,0.9159885007487745,-0.03285405091236338
7,cards_red,3.413869534552747,2.944919443543575
8,xg,2.9770537249380116,0.19988489114872648
9,xg_assist,1.9654732927405294,0.15832310661159196
10,progressive_carries,1.7663300054161772,-0.05857371339485004
11,progressive_passes,1.3871218289180982,-0.11596284529306114
12,progressive_passes_received,1.8547734805402631,-0.07992527006571844
13,goals_per90,2.104255672282407,0.5615064633007757
14,assists_per90,1.950738842964601,0.4357449142538955
15,xg_per90,1.8398484001872677,0.3823720572162794
16,xg_assist_per90,1.7434118740132556,0.22803479696108758
17,gk_goals_against_per90,4.049013381482979,3.0914585522570235
18,gk_save_pct,3.1722850358490327,3.091455023899702
19,gk_clean_sheets_pct,6.905321803772596,3.5031142644086097
20,gk_pens_save_pct,9.824760020967574,6.760487555276435
21,shots_on_target_pct,0.8634599949993713,-0.19376861058412476
22,shots_on_target_per90,1.8237088069849483,0.23723132114984952
23,goals_per_shot,2.9684352425548948,0.21290294111084018
24,average_shot_distance,0.32278424129326283,0.0414894896656359
25,passes_completed,1.0791353621060407,-0.09376888558782179
26,passes_pct,-0.47673265673824944,-0.07612877890580186
27,passes_total_distance,1.1780286553622477,-0.08752751020887341
28,passes_pct_short,-0.9721416864078883,-0.027706989271348872
29,passes_pct_medium,-0.7913407590244372,-0.12203624039836079
30,passes_pct_long,0.1567266140736976,0.12442877275583206
31,assisted_shots,1.679557030163276,-0.03492263778370003
32,passes_into_final_third,1.659361995488639,-0.054263514916101055
33,passes_into_penalty_area,1.9895607852519703,-0.009322058764961855
34,crosses_into_penalty_area,2.482045645491022,0.2067711451496488
35,sca,1.4452532158617641,-0.06595578336566324
36,sca_per90,0.7395898564548267,-0.02545459876332841
37,gca,1.7801390043268186,0.04176056521069647
38,gca_per90,1.2476245064205846,0.1764295462882249
39,tackles,1.2394416862586954,-0.08564212812306485
40,tackles_won,1.2896695488630185,-0.0705440289169454
41,challenges,1.309546727484502,-0.07348085450382384
42,challenges_lost,1.438296448301734,-0.05369509153407267
43,blocks,1.1200241882072808,-0.09809940888003645
44,blocked_shots,2.65352015698193,0.06400226491753072
45,blocked_passes,1.3141611296586022,-0.07905200573129924
46,interceptions,1.4282421835517536,-0.0511451811297836
47,touches,0.740321898442012,-0.11969687799450392
48,touches_def_pen_area,3.7320603031315125,0.0085082723280114
49,touches_def_3rd,1.6868394089154228,-0.03484434741687171
50,touches_mid_3rd,1.0743291687364516,-0.149409829904928
51,touches_att_3rd,1.136593122791728,-0.16762496811874722
52,touches_att_pen_area,2.049516744706621,-0.06339486785002252
53,take_ons,1.894739729512105,-0.039738296227190745
54,take_ons_won_pct,0.5277330642274457,0.03903927682996125
55,take_ons_tackled_pct,0.1592470533797296,-0.1919108747361452
56,carries,0.868921170504776,-0.11369021719810583
57,carries_progressive_distance,1.104406026193368,-0.10322484629426444
58,carries_into_final_third,1.4750012059946203,-0.07920435790998902
59,carries_into_penalty_area,3.0442090822741124,0.1313550546628046
60,miscontrols,1.504142708988101,-0.06258079634359946
61,dispossessed,1.618346962827254,-0.052484667541655136
62,passes_received,0.9290179419190656,-0.10780361122765227
63,fouls,1.1473436572248699,-0.09027151466911042
64,fouled,1.4697953084186486,-0.05456001910110124
65,offsides,2.8812178557998904,0.23597844679258417
66,crosses,2.0781886340657114,0.004962647591748293
67,ball_recoveries,0.8482763819985135,-0.0981438466429771
68,aerials_won,2.0290712608956563,-0.014108970140513478
69,aerials_lost,1.78509299040447,-0.054191896398789484
70,aerials_won_pct,0.27598999278530933,-0.030191843542591565
