,statistic,skew before,skew after
0,age,0.34916575965745655,-0.001159079407302296
1,games,-0.3346640857129229,-0.3030931424920126
2,games_starts,0.20788194827035308,-0.20824143849997725
3,minutes,0.2238228985256657,-0.20898368827944394
4,goals,3.072402588091796,0.33020233511010927
5,assists,2.3406430511511607,0.24903169015112067
6,cards_yellow,0.9347801556932505,-0.03453142590414675
7,cards_red,3.4269327048710236,2.956931556396158
8,xg,2.9733615004074005,0.1986390639715696
9,xg_assist,1.983649763930449,0.15625609874402252
10,progressive_carries,1.804317017668044,-0.05895487424075684
11,progressive_passes,1.390560228260411,-0.11911817532667299
12,progressive_passes_received,1.8797719300126237,-0.08178023743579788
13,goals_per90,2.0389491193465745,0.5545044751130981
14,assists_per90,1.9029015337697814,0.4188880558823232
15,xg_per90,1.8040931469308275,0.38441900269360185
16,xg_assist_per90,1.7337606028289718,0.22834775902320262
17,gk_goals_against_per90,4.230004065010796,3.0531786421586267
18,gk_save_pct,3.157115729090479,3.0531738120538456
19,gk_clean_sheets_pct,6.945127966117933,3.450150902592879
20,gk_pens_save_pct,9.855860958010409,6.782636890753146
21,shots_on_target_pct,0.8768252866729975,-0.18355508994249167
22,shots_on_target_per90,1.8517989011487357,0.23827372132840227
23,goals_per_shot,3.012013270697118,0.2041317467109095
24,average_shot_distance,0.31786442303849205,0.04138325518817614
25,passes_completed,1.0851862503680654,-0.09522243481218243
26,passes_pct,-0.4934522369883255,-0.07732870788066618
27,passes_total_distance,1.1844200714175952,-0.08832728209862033
28,passes_pct_short,-0.9817458448712479,-0.024572407204255114
29,passes_pct_medium,-0.7836106975095817,-0.12047598771033004
30,passes_pct_long,0.17256208421201036,0.12645504070534186
31,assisted_shots,1.672721771412206,-0.03681432792581557
32,passes_into_final_third,1.6728228274428782,-0.05592646223607109
33,passes_into_penalty_area,1.996427053978862,-0.010150228953451532
34,crosses_into_penalty_area,2.4897205894121233,0.20770638170149008
35,sca,1.454103994011309,-0.06767258127747566
36,sca_per90,0.7416562024875587,-0.025523916493639616
37,gca,1.750407701834111,0.039814456681402155
38,gca_per90,1.2189010503055702,0.17385603280326117
39,tackles,1.242280392114706,-0.08790519116772892
40,tackles_won,1.2853922774844957,-0.07307955064031631
41,challenges,1.3279613607137517,-0.0740468835451761
42,challenges_lost,1.4769859193295476,-0.05422877185582962
43,blocks,1.0983677258213818,-0.10190693560035718
44,blocked_shots,2.656866550858688,0.06168256462774504
45,blocked_passes,1.2810306496882893,-0.08179823148187858
46,interceptions,1.4285471688832263,-0.05421557648892423
47,touches,0.7428806468098417,-0.12090672231376129
48,touches_def_pen_area,3.7320286095752957,0.008099171319460561
49,touches_def_3rd,1.6946367645471312,-0.0350952246193394
50,touches_mid_3rd,1.0732114151350687,-0.15224068138718064
51,touches_att_3rd,1.135647179078011,-0.17213639743903297
52,touches_att_pen_area,2.0497741175899176,-0.06499696967448104
53,take_ons,1.9258349393310743,-0.04106260017526467
54,take_ons_won_pct,0.5429759740577353,0.04891556648475372
55,take_ons_tackled_pct,0.16900450018905513,-0.16242901617093605
56,carries,0.8740163245935051,-0.1139382061181527
57,carries_progressive_distance,1.1134819053393972,-0.10397645658298717
58,carries_into_final_third,1.473928979557172,-0.08125966617306554
59,carries_into_penalty_area,3.113920470818398,0.12967202293671387
60,miscontrols,1.5169294729646579,-0.06360610630347206
61,dispossessed,1.609605218159937,-0.05419371111026451
62,passes_received,0.9341456416410188,-0.10854118357309664
63,fouls,1.1327925840071627,-0.09525981122029555
64,fouled,1.4641412420739437,-0.05475554611858594
65,offsides,2.88399369427714,0.23382416004702622
66,crosses,2.0530825095782568,0.004294906514618677
67,ball_recoveries,0.8424317588518173,-0.09990326665256033
68,aerials_won,2.049836488351665,-0.014197345584004024
69,aerials_lost,1.8242397635430083,-0.05212791866887765
70,aerials_won_pct,0.24474901627009743,-0.03802807236678071
