                       statistic                    top 1                   top 2                   top 3               bottom 1               bottom 2                 bottom 3
49               touches_def_3rd             Mark Flekken         Jordan Pickford              Bernd Leno          William Osula        Odsonne Édouard            Callum Wilson
50               touches_mid_3rd          Virgil van Dijk          William Saliba          Joško Gvardiol          Alex McCarthy             Danny Ward           Fraser Forster
51               touches_att_3rd            Mohamed Salah            Bryan Mbeumo         Bruno Fernandes         Aaron Ramsdale          Alex McCarthy              Alex Palmer
52          touches_att_pen_area            Mohamed Salah          Alexander Isak         Antoine Semenyo         Aaron Ramsdale          Alex McCarthy              Alex Palmer
53                      take_ons           Mohammed Kudus             Jeremy Doku           Morgan Rogers         Aaron Ramsdale          Alex McCarthy              Alex Palmer
54              take_ons_won_pct                  Alisson             Andy Irving            Ayden Heaven     Abdukodir Khusanov        Albert Grønbaek      Armel Bella Kotchap
55          take_ons_tackled_pct       Abdukodir Khusanov         Albert Grønbaek     Armel Bella Kotchap                Alisson            Andy Irving             Ayden Heaven
56                       carries           Joško Gvardiol         Virgil van Dijk          William Saliba          Harry Toffolo        Albert Grønbaek      Chidozie Obi-Martin
57  carries_progressive_distance       Jan Paul van Hecke          Joško Gvardiol              Rúben Dias        Albert Grønbaek          Harry Toffolo           Massimo Luongo
58      carries_into_final_third               Alex Iwobi          Joško Gvardiol             Jeremy Doku         Aaron Ramsdale        Albert Grønbaek            Alex McCarthy
59     carries_into_penalty_area            Mohamed Salah             Jeremy Doku            Noni Madueke        Aaron Cresswell         Aaron Ramsdale       Abdukodir Khusanov
60                   miscontrols            Mohamed Salah           Morgan Rogers            Bryan Mbeumo          Alex McCarthy        Alphonse Areola           Altay Bayındır
61                  dispossessed           Mohammed Kudus         Bruno Guimarães        Dejan Kulusevski        Aaron Cresswell         Aaron Ramsdale            Alex McCarthy
62               passes_received          Virgil van Dijk          Joško Gvardiol          William Saliba        Albert Grønbaek        Odsonne Édouard            William Osula
63                         fouls               João Gomes              Liam Delap         Antoine Semenyo        Albert Grønbaek          Alex McCarthy                  Alisson
64                        fouled          Bruno Guimarães           Matheus Cunha             John McGinn        Alphonse Areola         Altay Bayındır            Andrés García
65                      offsides    Dominic Calvert-Lewin              Chris Wood             Jamie Vardy        Aaron Cresswell         Aaron Ramsdale       Abdukodir Khusanov
66                       crosses              Pedro Porro            Bryan Mbeumo         Bruno Fernandes         Aaron Ramsdale          Alex McCarthy              Alex Palmer
67               ball_recoveries           Moisés Caicedo         Elliot Anderson         Bruno Fernandes         Altay Bayındır             Danny Ward           Fraser Forster
68                   aerials_won                 Dan Burn          Nathan Collins         Virgil van Dijk          Andrés García                 Antony            Billy Gilmour
69                  aerials_lost               Chris Wood    Jean-Philippe Mateta    Jørgen Strand Larsen         Aaron Ramsdale        Albert Grønbaek            Alex McCarthy
70               aerials_won_pct           Aaron Ramsdale         Albert Grønbaek           Alex McCarthy          Andrés García                 Antony              Emi Buendía
